Title,Year,Genre,Rating,Revenue (Millions),Budget (Millions),Director
Movie 1,2012,Thriller,6.5710126196361625,207.1857397354784,0.0,Director 1
Movie 2,2014,Comedy,2.532630320143889,19.50525417673265,201.01768924519223,Director 2
Movie 3,2010,Comedy,5.782647491791456,370.0319359794487,95.95091578042232,Director 3
Movie 4,2014,Drama,6.924149660881446,394.1561899491865,0.0,Director 4
Movie 5,2020,Drama,8.295576242165367,165.12127824203114,138.52217772771843,Director 5
Movie 7,2020,Action,5.232579108307948,461.9885211656848,0.0,Director 7
Movie 8,2016,Drama,3.2594210151956813,12.11752813259151,224.38299648196727,Director 8
Movie 9,2018,Drama,9.513527914780612,0.0,0.0,Director 9
Movie 10,2020,Drama,9.442328770496314,249.55616856759565,68.93161154374741,Director 10
Movie 11,2018,Action,0.0,67.76271801402122,0.0,Director 11
Movie 12,2010,Comedy,9.222509904826891,393.8970405762911,254.41151317082185,Director 12
Movie 13,2010,Action,6.481026999670097,21.55596311378997,51.30179418924556,Director 13
Movie 14,2014,Thriller,8.388933071456892,153.84769077758423,136.11947060638778,Director 14
Movie 15,2010,Thriller,6.750482322906552,244.5212805888321,254.1750806178871,Director 15
Movie 16,2016,Thriller,1.4124576509467484,31.809419814650557,0.0,Director 16
Movie 17,2012,Action,8.214734266575576,154.55429471191178,0.0,Director 17
Movie 18,2016,Thriller,1.2694461686751433,0.0,0.0,Director 18
Movie 19,2014,Thriller,9.89309806700315,188.98860964424915,130.95291205391808,Director 19
Movie 20,2014,Action,1.682657080506488,242.6837075381812,0.0,Director 20
Movie 21,2010,Comedy,3.1627311968321643,0.0,64.37618964145173,Director 21
Movie 22,2020,Thriller,2.2241954909155464,0.0,166.09184525145895,Director 22
Movie 23,2020,Drama,2.825459711720704,499.1861283071846,28.288469578467527,Director 23
Movie 24,2014,Thriller,3.1723725619234875,68.82276009641974,149.4565234533254,Director 24
Movie 25,2018,Drama,9.784656148025304,244.47056056556573,0.0,Director 25
Movie 26,2010,Thriller,3.286420081838142,54.68052713844959,268.4680563598812,Director 26
Movie 27,2016,Comedy,4.7197976863709625,249.89403226623017,235.43420699239925,Director 27
Movie 28,2014,Action,5.578055552259191,111.84226688791694,70.0999586287696,Director 28
Movie 29,2018,Comedy,1.74578177788006,188.9065198877194,245.4192668301604,Director 29
Movie 30,2020,Comedy,5.911276906386098,176.09418537013542,225.65972149434657,Director 30
Movie 31,2014,Thriller,4.38348357638003,290.9281113733255,0.0,Director 31
